Journal,Classification
International Journal of Tuberculosis and Lung Disease,General Medicine
Rhinology,Otorhinolaryngology
Rhinology,Otorhinolaryngology
Skin Appendage Disorders,Dermatology
Civic Engagement in Asia: Transformative Learning for a Sustainable Future,General Social Sciences
Nursing Science Quarterly,General Nursing
Stomatologija,General Medicine
"Clinical, Cosmetic and Investigational Dermatology",Dermatology
Rawal Medical Journal,General Nursing
Kathmandu University Medical Journal,General Medicine
Earth Science Frontiers,Geology
"Science, Engineering and Health Studies",Multidisciplinary
Cyanobacterial Physiology: From Fundamentals to Biotechnology,General Biochemistry
Journal of the World Federation of Orthodontists,Orthodontics
Biomass Conversion and Biorefinery,Renewable Energy
Research Handbook on the Politics of Human Rights Law,General Social Sciences
BMJ Open,General Medicine
BMC Health Services Research,Health Policy
Journal of Feline Medicine and Surgery,Small Animals
International Journal of Cardiology,Cardiology and Cardiovascular Medicine
Radiology Case Reports,Radiology
Geochimica et Cosmochimica Acta,Geochemistry and Petrology
"The Rhizosphere: Structure, Ecology and Significance",General Immunology and Microbiology
Cladistics,Ecology
American Journal of Obstetrics and Gynecology,Obstetrics and Gynecology
"Snakes: Morphology, Function, and Ecology",General Agricultural and Biological Sciences
PACE - Pacing and Clinical Electrophysiology,Cardiology and Cardiovascular Medicine
BMC Oral Health,General Dentistry
Current Opinion in Psychiatry,Psychiatry and Mental Health
Kidney International Reports,Nephrology
Atmosphere,Environmental Science (miscellaneous)
Critical Care Medicine,Critical Care and Intensive Care Medicine
International Ophthalmology,Ophthalmology
Frontiers in Pediatrics,Pediatrics
International Journal of Nursing Practice,General Nursing
Inquiry (United States),Health Policy
European Respiratory Journal,Pulmonary and Respiratory Medicine
Journal of Manual and Manipulative Therapy,Physical Therapy
Open Veterinary Journal,General Veterinary
Digital Eye Care and Teleophthalmology: A Practical Guide to Applications,General Medicine
Concepts of Artificial Intelligence and its Application in Modern Healthcare Systems,General Computer Science
Journal of Natural Fibers,Materials Science (miscellaneous)
Folia morphologica,General Medicine
Laryngoscope,Otorhinolaryngology
Ageing International,Health (social science)
Revista de Psiquiatria Clinica,Psychiatry and Mental Health
International Journal of Mental Health and Addiction,Psychiatry and Mental Health
Advances in Applied Microbiology,Applied Microbiology and Biotechnology
Turkish Journal of Mathematics,General Mathematics
Journal of Endodontics,General Dentistry
"Lakes and Reservoirs: Science, Policy and Management for Sustainable Use",Water Science and Technology
Nature Physics,General Physics and Astronomy
Journal of Dental Sciences,General Dentistry
